@relation EX1Z7279C60U_Exp22_RMS

@attribute RFLP_RMS_AatII numeric
@attribute RFLP_RMS_AbsI numeric
@attribute RFLP_RMS_AccI numeric
@attribute RFLP_RMS_AclI numeric
@attribute RFLP_RMS_AcyI numeric
@attribute RFLP_RMS_AflII numeric
@attribute RFLP_RMS_AflIII numeric
@attribute RFLP_RMS_AgeI numeric
@attribute RFLP_RMS_AgsI numeric
@attribute RFLP_RMS_AhaIII numeric
@attribute RFLP_RMS_AluI numeric
@attribute RFLP_RMS_AlwNI numeric
@attribute RFLP_RMS_AoxI numeric
@attribute RFLP_RMS_ApaBI numeric
@attribute RFLP_RMS_ApaI numeric
@attribute RFLP_RMS_ApaLI numeric
@attribute RFLP_RMS_ApoI numeric
@attribute RFLP_RMS_AscI numeric
@attribute RFLP_RMS_AsuI numeric
@attribute RFLP_RMS_AsuII numeric
@attribute RFLP_RMS_AvaI numeric
@attribute RFLP_RMS_AvaII numeric
@attribute RFLP_RMS_AvrII numeric
@attribute RFLP_RMS_BalI numeric
@attribute RFLP_RMS_BamHI numeric
@attribute RFLP_RMS_BclI numeric
@attribute RFLP_RMS_BetI numeric
@attribute RFLP_RMS_BglI numeric
@attribute RFLP_RMS_BglII numeric
@attribute RFLP_RMS_BisI numeric
@attribute RFLP_RMS_BsaAI numeric
@attribute RFLP_RMS_BsaBI numeric
@attribute RFLP_RMS_BsePI numeric
@attribute RFLP_RMS_BseSI numeric
@attribute RFLP_RMS_BsiYI numeric
@attribute RFLP_RMS_Bsp1407I numeric
@attribute RFLP_RMS_BspHI numeric
@attribute RFLP_RMS_BspLU11I numeric
@attribute RFLP_RMS_BspMII numeric
@attribute RFLP_RMS_BstEII numeric
@attribute RFLP_RMS_BstXI numeric
@attribute RFLP_RMS_Cac8I numeric
@attribute RFLP_RMS_CauII numeric
@attribute RFLP_RMS_Cfr10I numeric
@attribute RFLP_RMS_CfrI numeric
@attribute RFLP_RMS_ClaI numeric
@attribute RFLP_RMS_CviJI numeric
@attribute RFLP_RMS_CviRI numeric
@attribute RFLP_RMS_DdeI numeric
@attribute RFLP_RMS_DpnI numeric
@attribute RFLP_RMS_DraII numeric
@attribute RFLP_RMS_DraIII numeric
@attribute RFLP_RMS_DrdI numeric
@attribute RFLP_RMS_DsaI numeric
@attribute RFLP_RMS_Eam1105I numeric
@attribute RFLP_RMS_Eco47III numeric
@attribute RFLP_RMS_EcoNI numeric
@attribute RFLP_RMS_EcoRI numeric
@attribute RFLP_RMS_EcoRII numeric
@attribute RFLP_RMS_EcoRV numeric
@attribute RFLP_RMS_EspI numeric
@attribute RFLP_RMS_FaiI numeric
@attribute RFLP_RMS_Fnu4HI numeric
@attribute RFLP_RMS_FnuDII numeric
@attribute RFLP_RMS_FseI numeric
@attribute RFLP_RMS_FspAI numeric
@attribute RFLP_RMS_GlaI numeric
@attribute RFLP_RMS_HaeI numeric
@attribute RFLP_RMS_HaeII numeric
@attribute RFLP_RMS_HaeIII numeric
@attribute RFLP_RMS_HgiAI numeric
@attribute RFLP_RMS_HgiCI numeric
@attribute RFLP_RMS_HgiJII numeric
@attribute RFLP_RMS_HhaI numeric
@attribute RFLP_RMS_HindII numeric
@attribute RFLP_RMS_HindIII numeric
@attribute RFLP_RMS_HinfI numeric
@attribute RFLP_RMS_HpaI numeric
@attribute RFLP_RMS_HpaII numeric
@attribute RFLP_RMS_Hpy178III numeric
@attribute RFLP_RMS_Hpy188I numeric
@attribute RFLP_RMS_Hpy99I numeric
@attribute RFLP_RMS_KpnI numeric
@attribute RFLP_RMS_KroI numeric
@attribute RFLP_RMS_MaeI numeric
@attribute RFLP_RMS_MaeII numeric
@attribute RFLP_RMS_MaeIII numeric
@attribute RFLP_RMS_MauBI numeric
@attribute RFLP_RMS_MboI numeric
@attribute RFLP_RMS_McrI numeric
@attribute RFLP_RMS_MfeI numeric
@attribute RFLP_RMS_MluI numeric
@attribute RFLP_RMS_MseI numeric
@attribute RFLP_RMS_MslI numeric
@attribute RFLP_RMS_MstI numeric
@attribute RFLP_RMS_MwoI numeric
@attribute RFLP_RMS_NaeI numeric
@attribute RFLP_RMS_NarI numeric
@attribute RFLP_RMS_NcoI numeric
@attribute RFLP_RMS_NdeI numeric
@attribute RFLP_RMS_NheI numeric
@attribute RFLP_RMS_NlaIII numeric
@attribute RFLP_RMS_NlaIV numeric
@attribute RFLP_RMS_NotI numeric
@attribute RFLP_RMS_NruI numeric
@attribute RFLP_RMS_NspBII numeric
@attribute RFLP_RMS_NspI numeric
@attribute RFLP_RMS_OliI numeric
@attribute RFLP_RMS_PacI numeric
@attribute RFLP_RMS_PasI numeric
@attribute RFLP_RMS_PcsI numeric
@attribute RFLP_RMS_PflMI numeric
@attribute RFLP_RMS_PfoI numeric
@attribute RFLP_RMS_PmaCI numeric
@attribute RFLP_RMS_PmeI numeric
@attribute RFLP_RMS_PpuMI numeric
@attribute RFLP_RMS_PshAI numeric
@attribute RFLP_RMS_PsiI numeric
@attribute RFLP_RMS_PspXI numeric
@attribute RFLP_RMS_PstI numeric
@attribute RFLP_RMS_PvuI numeric
@attribute RFLP_RMS_PvuII numeric
@attribute RFLP_RMS_RsaI numeric
@attribute RFLP_RMS_RsrII numeric
@attribute RFLP_RMS_SacI numeric
@attribute RFLP_RMS_SacII numeric
@attribute RFLP_RMS_SalI numeric
@attribute RFLP_RMS_SanDI numeric
@attribute RFLP_RMS_SauI numeric
@attribute RFLP_RMS_ScaI numeric
@attribute RFLP_RMS_ScrFI numeric
@attribute RFLP_RMS_SduI numeric
@attribute RFLP_RMS_SecI numeric
@attribute RFLP_RMS_SetI numeric
@attribute RFLP_RMS_SexAI numeric
@attribute RFLP_RMS_SfeI numeric
@attribute RFLP_RMS_SfiI numeric
@attribute RFLP_RMS_SgeI numeric
@attribute RFLP_RMS_SgfI numeric
@attribute RFLP_RMS_SgrAI numeric
@attribute RFLP_RMS_SgrDI numeric
@attribute RFLP_RMS_SmaI numeric
@attribute RFLP_RMS_SmlI numeric
@attribute RFLP_RMS_SnaBI numeric
@attribute RFLP_RMS_SpeI numeric
@attribute RFLP_RMS_SphI numeric
@attribute RFLP_RMS_SplI numeric
@attribute RFLP_RMS_SrfI numeric
@attribute RFLP_RMS_Sse232I numeric
@attribute RFLP_RMS_Sse8387I numeric
@attribute RFLP_RMS_Sse8647I numeric
@attribute RFLP_RMS_SspI numeric
@attribute RFLP_RMS_StuI numeric
@attribute RFLP_RMS_StyI numeric
@attribute RFLP_RMS_SwaI numeric
@attribute RFLP_RMS_TaqI numeric
@attribute RFLP_RMS_TatI numeric
@attribute RFLP_RMS_TauI numeric
@attribute RFLP_RMS_TfiI numeric
@attribute RFLP_RMS_TseI numeric
@attribute RFLP_RMS_Tsp45I numeric
@attribute RFLP_RMS_Tsp4CI numeric
@attribute RFLP_RMS_TspEI numeric
@attribute RFLP_RMS_TspRI numeric
@attribute RFLP_RMS_Tth111I numeric
@attribute RFLP_RMS_VspI numeric
@attribute RFLP_RMS_XbaI numeric
@attribute RFLP_RMS_XcmI numeric
@attribute RFLP_RMS_XhoI numeric
@attribute RFLP_RMS_XhoII numeric
@attribute RFLP_RMS_XmaIII numeric
@attribute RFLP_RMS_XmnI numeric
@attribute Class {HIV1_M,HIV1_N,HIV1_O,HIV1_P}

@data
8892,8892,2846.668,8892,6286.179,8892,6181.743,8892,797.156,1528.156,260.511,1845.764,498.164,4527.088,8892,3881.731,881.278,8892,477.323,8892,5948.548,845.636,5299.469,2279.333,5528.536,3710.800,5039.135,5725.782,3131.315,765.922,8892,3551.193,8892,2815.245,601.113,1505.583,3100.892,6181.743,6196.352,8892,1972.864,857.369,5217.785,8892,2279.416,5990.588,107.687,431.137,327.271,574.180,1999.301,3214.495,3518.480,8892,8892,8892,4540.595,2470.247,414.404,3007.048,8892,89.566,765.922,8892,8892,8892,1320.729,946.833,6284.059,498.134,1080.668,1933.881,2550.585,1320.615,2203.018,2387.332,590.655,3822.059,2453.273,389.997,586.417,3684.328,2485.237,8892,492.304,8892,670.483,8892,574.181,8892,2296.505,8892,284.157,1360.489,5448.800,980.793,8892,6286.179,8892,2895.542,8892,522.894,625.644,8892,8892,2373.646,3760.863,4782.791,8892,5727.043,8892,2513.357,2678.888,8892,8892,2568.046,4786.115,3013.867,8892,3520.365,8892,3549.556,381.102,8892,2987.607,8892,8892,8892,3527.696,3513.963,406.313,961.458,681.477,138.105,3208.365,2031.243,8892,26.762,8892,8892,8892,8892,4161.437,8892,2816.983,8892,8892,8892,8892,8892,3890.011,1863.119,4355.581,1572.079,8892,3941.974,742.212,4151.460,773.319,806.088,1385.779,455.840,175.996,421.390,1836.510,3805.787,3207.765,2447.911,8892,1975.229,8892,2801.419,HIV1_N
9811,9811,1461.781,9811,6484.925,9811,2112.263,9811,706.236,1490.929,232.238,2439.866,612.526,1874.530,9811,4821.189,663.627,9811,500.496,9811,5339.029,626.755,5208.335,6396.801,3304.418,3624.233,9811,6501.304,9811,659.868,9811,6079.704,9811,3538.194,478.424,1696.774,3534.146,2112.263,9811,3416.209,2580.161,647.582,3338.877,4906.280,6398.085,4955.688,108.817,321.214,499.825,404.445,1430.681,4965.023,3457.899,4020.881,5539.105,9811,3042.545,3684.860,457.147,4241.951,4708.490,87.860,659.868,9811,9811,9811,2804.480,880.621,6482.963,612.559,918.526,2681.592,1365.826,2804.445,3122.865,3001.793,632.867,4954.278,2212.956,490.221,726.885,3789.808,3318.231,9811,273.286,9811,438.892,9811,404.483,9811,1948.832,9811,237.616,1204.401,6120.120,411.024,9811,6484.925,4020.881,9811,2969.720,289.588,505.262,9811,9811,2114.228,1423.568,9811,9811,5012.159,9811,2986.777,5339.861,9811,9811,1558.142,9811,2783.516,9811,2592.116,9811,2784.966,332.427,9811,1994.224,9811,9811,9811,5228.596,2031.726,421.482,785.647,488.852,105.324,2510.660,1379.727,9811,24.072,9811,9811,9811,5339.085,2356.207,9811,4060.776,6285.292,9811,9811,9811,9811,3078.253,1723.245,2206.215,1124.495,9811,2805.841,542.420,4103.698,954.767,684.190,1049.163,572.559,178.201,389.018,2750.127,2942.692,2324.733,2427.870,9811,855.170,9811,4233.011,HIV1_O
9813,9813,1462.260,9813,6486.336,9813,2864.342,9813,666.526,1770.891,239.316,2086.341,485.784,1874.700,9813,4822.852,685.831,9813,492.996,9813,5340.754,663.836,5209.485,6398.209,3304.964,3625.457,6871.992,6503.371,9813,626.765,9813,6081.693,9813,2310.070,520.889,1696.852,3535.181,2864.342,9813,3417.092,2580.663,703.526,3609.353,4907.262,6399.493,4956.536,109.067,323.238,517.138,427.872,1431.391,4966.165,3458.461,4021.456,5540.455,6259.283,3043.745,3685.285,464.415,4243.518,4709.631,86.863,626.765,9813,9813,9813,2587.121,753.136,3854.712,485.821,1114.393,2682.227,1306.487,2587.101,3123.501,3002.157,719.774,4955.129,2213.687,482.870,726.976,3790.469,3318.915,9813,315.346,3574.754,479.254,9813,427.910,9813,1786.345,9813,232.572,1113.188,6121.520,399.725,9813,6486.336,4021.456,9813,2667.624,301.808,476.996,9813,9813,2114.335,1521.487,9813,9813,5012.933,9813,2987.532,5341.556,9813,9813,1558.877,9813,2784.170,9813,2592.781,9813,2785.470,333.209,9813,1843.811,9813,9813,9813,9813,2031.956,432.730,765.057,515.173,106.215,2511.670,1318.059,9813,24.366,9813,9813,9813,5340.810,2160.784,9813,5170.326,6286.698,9813,9813,9813,9813,3079.506,1723.596,1568.989,1124.740,9813,2413.564,531.317,4105.193,1120.821,650.010,1049.064,581.440,169.097,400.240,2750.541,2943.159,1997.195,2202.100,9813,855.557,9813,4234.125,HIV1_O
5065.529,9881,1628.610,9881,3833.969,3461.204,3424.550,9881,701.828,1462.396,328.325,1822.817,518.167,2356.235,9881,4856.584,958.558,9881,557.118,9881,5377.202,879.540,2676.159,2993.134,3297.995,3653.673,3335.087,3937.237,3429.933,557.489,5253.582,4043.841,9881,2115.960,455.281,1852.534,4979.563,3424.550,5070.207,9881,2598.629,692.909,2699.461,3926.170,2460.889,4985.925,103.540,339.286,444.979,504.223,2007.038,5004.612,5693.880,3067.779,5584.976,3851.861,2728.088,9881,474.465,6112.098,4746.829,83.429,557.489,9881,9881,9881,2061.852,845.608,3049.811,518.173,961.410,1484.614,1174.475,2061.769,6404.548,5378.724,550.957,9881,1145.305,390.037,542.859,3811.474,5051.783,4951.878,358.135,2627.487,458.997,9881,504.259,9881,3099.724,9881,257.950,834.784,6167.310,540.755,4952.014,6531.022,3866.213,4956.225,3483.624,333.962,449.378,9881,9881,2075.807,2004.927,6460.259,5317.856,9881,9881,2278.316,5378.035,9881,9881,2177.795,4964.592,2008.514,9881,2315.882,9881,3784.245,356.717,9881,1559.605,9881,9881,4497.461,6197.971,1484.492,431.064,749.045,472.718,111.571,4462.739,1084.771,9881,22.462,9881,9881,9881,5377.259,1324.952,9881,9881,9881,9881,9881,9881,4972.873,5401.905,1707.313,3732.311,1045.859,9881,2647.296,561.606,1722.989,637.342,596.612,1093.169,788.109,205.028,407.827,2997.142,1635.100,2469.130,2514.787,9881,885.927,9881,2247.927,HIV1_O
9330,9330,1704.034,5020.284,6470.586,4681.108,5604.969,9330,685.290,1368.512,254.066,1830.809,499.447,2088.769,9330,6422.275,725.509,9330,441.516,9330,5329.127,710.896,4036.912,3754.557,4724.114,3453.481,9330,3674.729,3117.077,688.123,9330,3268.647,9330,2139.137,442.309,1808.718,4739.493,5604.969,9330,4666.982,2113.871,693.119,4600.182,4667.709,3755.458,9330,107.699,307.395,379.566,413.914,1937.935,4773.719,3432.869,2745.911,2573.791,5431.551,3688.323,4132.074,433.072,2826.531,4696.718,79.468,688.123,9330,9330,9330,3304.354,1076.630,4334.061,499.445,886.337,1874.675,1089.884,3304.288,1551.064,4111.683,624.081,1937.588,2910.243,527.132,688.253,6437.416,3117.254,9330,356.694,3937.927,502.673,9330,413.941,9330,1694.832,9330,251.684,1118.285,9330,524.400,9330,6470.586,3560.235,4872.275,3258.592,352.201,602.647,9330,9330,2087.087,2074.603,3986.726,4969.912,5129.098,9330,2119.153,9330,9330,9330,3624.362,3207.367,1656.924,9330,3034.497,9330,3084.994,392.834,9330,1488.397,9330,9330,9330,3499.419,3170.647,412.358,714.003,629.351,106.426,5329.167,930.886,9330,23.689,9330,9330,9330,5329.122,1428.322,9330,5903.571,9330,9330,9330,9330,9330,4194.110,1862.166,3471.463,1415.257,9330,4961.345,653.628,4371.150,876.344,729.103,1167.795,753.508,195.483,420.210,3595.818,1829.129,2827.621,1892.647,9330,953.463,9330,5251.663,HIV1_O
9859,9859,1885.795,9859,4050.117,9859,5295.494,9859,763.975,1801.407,313.567,1724.889,420.734,1531.204,9859,2979.779,885.223,9859,509.371,9859,5339.396,805.997,3725.269,2828.207,3824.662,3629.571,4603.927,2228.179,5758.431,446.405,6536.477,9859,5059.714,1980.407,560.288,2133.927,4967.530,5295.494,9859,2426.624,2172.126,647.434,2676.151,4929.922,2230.003,9859,100.947,264.469,464.931,532.254,2055.799,3758.452,5679.862,3128.494,9859,5773.474,3919.562,6315.277,410.767,6071.528,6471.894,79.736,446.405,5060.166,9859,9859,1139.576,745.315,2465.487,420.736,787.541,1408.530,1361.516,1139.523,2849.261,5340.794,647.365,3682.049,1316.353,444.306,504.703,3804.264,2595.670,9859,349.929,2290.528,498.975,9859,532.250,9859,1545.267,9859,253.956,973.961,5634.242,486.824,9859,4050.117,3840.786,5181.581,2866.323,362.193,512.213,9859,9859,1831.456,1699.503,5326.754,5300.992,9859,9859,3004.862,5341.519,9859,9859,2819.109,3612.890,1917.437,9859,1851.283,9859,5487.302,334.507,9859,1637.719,9859,9859,9859,3073.247,1546.572,376.249,663.242,453.267,114.293,3284.740,1391.897,9859,22.328,9859,9859,9859,5339.448,1493.596,9859,2572.072,3836.093,9859,9859,9859,4962.980,5388.207,1787.345,2671.198,1211.224,9859,2714.496,669.244,1975.866,767.710,480.041,1214.565,712.444,218.482,359.870,3646.343,2455.940,2728.933,1878.077,9859,926.765,9859,3003.858,HIV1_O
9829,9829,1622.280,9829,6495.004,9829,9829,9829,704.800,1480.859,292.870,1521.586,480.235,1527.486,9829,4805.157,899.503,9829,536.338,9829,5322.104,803.122,6403.064,2817.428,3302.612,3616.325,4586.921,2854.244,5737.839,498.023,6515.314,9829,5048.514,2901.828,513.812,1707.142,4950.809,9829,9829,3058.524,2584.711,851.786,2665.218,4915.143,2818.003,6108.872,104.341,328.705,358.183,555.989,2046.751,3743.245,5659.395,5319.982,9829,9829,2193.556,4403.677,396.666,4906.821,6450.750,87.206,498.023,5048.972,9829,9829,1925.293,757.760,3852.720,480.300,854.821,1404.661,1356.935,1925.250,2386.149,5323.507,731.499,3122.732,1451.229,539.599,468.845,3794.285,3324.439,9829,459.632,2664.073,539.568,9829,555.984,9829,1537.789,9829,253.033,919.232,9829,586.415,9829,6495.004,5319.982,5171.967,5824.716,372.433,511.045,9829,9829,1973.893,2653.169,5312.876,5287.046,9829,9829,2993.499,5324.234,9829,9829,2809.217,3597.929,2351.565,9829,2044.394,9829,3629.578,336.669,9829,1632.483,9829,9829,9829,3740.116,1231.348,364.020,724.106,555.195,113.728,3275.049,1507.718,9829,22.889,9829,9829,9829,5322.156,1332.946,9829,5148.495,9829,9829,9829,9829,9829,5368.433,1783.371,2659.630,1671.778,9829,3143.882,639.440,2152.956,874.606,562.235,1236.440,583.258,210.026,338.957,3132.492,2122.285,3309.356,3219.251,9829,923.734,9829,2815.743,HIV1_O
9243,9243,3086.519,5954.371,6466.863,4638.222,4187.329,9243,897.434,1234.264,306.489,2562.862,482.691,2159.048,9243,3771.924,1153.926,9243,548.594,9243,6506.861,873.898,2613.622,3757.627,3537.197,2466.215,3789.295,4679.661,4647.880,693.714,6488.585,4063.958,9243,1690.598,537.535,2459.183,3312.226,4187.329,4705.568,4032.169,1766.926,1069.006,2618.833,4625.633,3758.550,9243,115.509,287.439,453.102,518.712,1594.717,3120.453,9243,5135.526,5432.508,5381.642,3031.760,9243,556.901,5671.501,3718.032,85.261,693.714,9243,9243,9243,2842.513,727.672,4338.803,482.683,664.256,2347.599,1191.707,2842.410,2155.901,5941.152,556.136,3212.428,1424.232,504.051,591.910,3767.236,5220.251,9243,321.900,4823.973,414.768,9243,518.737,9243,5390.372,9243,223.815,896.522,6074.666,775.453,9243,6466.863,5135.526,9243,5450.986,319.674,570.549,9243,9243,3503.201,2336.153,9243,4915.507,9243,9243,2827.357,6171.746,9243,9243,1896.038,4680.291,3144.634,9243,2691.838,9243,4047.190,306.296,6445.914,1488.447,9243,9243,5787.317,4629.764,1219.596,488.516,549.393,573.179,107.794,6499.122,1551.473,9243,23.755,9243,9243,9243,6508.269,1907.911,9243,5636.361,9243,9243,9243,9243,9243,3612.942,3203.178,2530.222,1280.010,9243,4227.075,556.427,4942.676,908.726,713.850,784.595,706.887,192.898,538.113,6204.331,1344.169,1754.402,2298.852,9243,1548.230,9243,2931.631,HIV1_O
9226,9226,2179.193,5951.881,6454.843,3619.412,3863.607,5910.397,557.886,1443.395,349.648,2950.104,606.136,2339.214,9226,4807.460,647.300,9226,579.417,9226,6500.475,916.761,2613.206,4960.701,3536.075,4795.128,4819.580,4673.251,3555.995,741.356,6475.862,5682.332,9226,2086.209,523.486,1970.620,3309.184,3863.607,9226,3539.332,2088.680,882.933,2289.962,3472.678,4960.726,9226,117.223,297.806,483.633,537.304,2907.922,3593.494,4970.510,4259.064,5418.710,5374.601,3032.971,3898.348,518.272,3518.348,3296.787,82.732,741.356,9226,9226,9226,3745.984,1058.156,4333.043,606.108,799.806,2051.489,1291.339,3745.867,2686.332,5938.634,536.716,4632.353,1515.215,406.928,748.046,3762.616,9226,9226,322.470,4821.364,417.433,9226,537.337,9226,2055.666,9226,264.011,1023.786,9226,692.267,9226,6454.843,5250.698,4959.416,3314.404,325.559,595.053,9226,9226,2606.067,2049.838,9226,4912.827,9226,5262.204,2090.530,6171.691,9226,9226,3217.998,4669.936,2059.280,9226,1794.309,9226,2968.801,316.698,9226,1637.257,9226,9226,9226,4671.188,1627.162,441.396,647.451,597.406,109.849,4790.899,1346.106,9226,23.140,9226,9226,9226,6501.884,2230.271,9226,3726.308,9226,9226,9226,9226,9226,4169.210,1116.544,6097.207,1324.608,9226,4227.685,587.518,3502.511,697.729,772.128,852.758,696.124,175.374,425.678,6193.663,1640.226,1772.812,2297.290,9226,1469.232,9226,4173.919,HIV1_O
9177,9177,1193.425,9177,4628.762,4882.099,2335.134,9177,735.159,1058.414,258.681,3806.983,526.518,2057.224,9177,4812.176,692.694,9177,518.827,6208.001,9177,760.742,3168.622,6323.756,1828.302,4764.900,9177,2998.194,3161.871,667.458,3143.692,3931.972,9177,2527.885,503.109,1026.646,3310.289,2729.428,9177,5505.555,1970.667,845.889,1847.800,4591.237,6325.132,9177,123.948,309.292,475.597,441.651,2214.365,3567.833,5506.661,2998.893,5385.005,9177,2558.542,2118.323,421.768,4196.786,4649.845,84.289,667.458,6406.922,9177,9177,2341.282,934.877,3972.125,526.524,1279.852,2638.689,1329.345,2341.273,3073.949,2209.076,493.103,4610.270,1701.408,370.645,576.968,6379.764,3081.873,9177,374.008,3143.680,458.244,9177,441.716,9177,1820.423,9177,269.586,1194.356,6025.551,408.724,9177,6418.099,2998.893,9177,4650.606,322.489,446.240,9177,9177,2660.596,1891.733,4938.298,4913.209,4654.744,9177,1974.309,2882.138,9177,9177,3027.851,9177,2262.802,9177,2432.942,9177,3112.750,290.411,9177,2424.233,9177,9177,4684.700,9177,1756.574,365.225,763.202,613.325,107.491,9177,1274.590,9177,22.941,9177,9177,9177,9177,2337.228,4999.654,3146.110,9177,9177,9177,9177,4602.020,5177.561,1348.741,2178.215,1666.887,9177,4481.709,417.995,4061.157,738.663,707.032,1042.774,426.684,179.888,524.012,3560.391,2202.373,1871.321,2841.018,9177,718.431,9177,3468.028,HIV1_O
4657.487,9147,1472.595,9147,3772.015,3155.127,3139.103,9147,587.328,2182.266,379.263,1994.009,557.591,1906.931,9147,4811.053,891.784,9147,551.973,9147,9147,844.646,2612.990,2946.371,3510.450,4757.003,3512.763,3621.025,3282.929,622.149,9147,3928.316,9147,2078.578,494.255,1775.202,4653.747,3139.103,4661.502,5817.605,2382.362,721.067,3533.717,3623.712,2946.466,9147,108.836,346.983,454.725,554.531,1557.084,4689.481,5507.503,4238.837,5384.859,3511.861,2501.970,9147,526.431,5652.368,4654.453,85.266,622.149,9147,9147,9147,2258.367,890.193,3011.828,557.562,1015.141,1686.576,1588.203,2258.241,6286.747,9147,597.468,9147,1375.933,413.636,534.628,3746.177,3071.440,4574.539,426.979,3585.886,470.022,9147,554.562,9147,2935.159,9147,270.677,749.362,6029.749,567.977,4574.582,6422.810,5236.597,4576.177,3207.162,351.076,497.192,9147,9147,2587.672,1947.600,3921.634,4888.528,9147,9147,2068.362,6154.587,9147,9147,1875.931,4630.843,1880.360,9147,1920.571,9147,4027.175,392.308,9147,1954.887,9147,9147,2944.777,3442.598,1683.500,493.387,819.168,609.720,121.483,9147,1014.493,9147,25.039,9147,9147,9147,9147,1795.082,9147,9147,9147,9147,9147,9147,4585.282,9147,1776.770,2659.190,1259.726,9147,5530.451,602.433,2213.592,686.855,669.984,1107.310,815.044,176.676,458.047,2917.793,1687.747,2224.113,2284.445,9147,992.824,9147,1655.723,HIV1_O
9158,9158,1545.607,9158,6406.063,3888.963,2846.690,5865.731,736.488,1685.728,270.439,2163.605,520.310,1853.426,9158,4675.765,611.935,9158,588.557,9158,6452.392,1131.619,2489.856,2911.040,3507.591,9158,5865.731,4642.463,4990.340,637.807,9158,3206.160,9158,3419.261,521.323,1063.092,3117.568,2846.690,9158,3277.532,1752.797,712.743,4864.181,3444.735,2911.141,9158,97.975,299.890,734.901,605.223,2713.654,4691.230,5499.578,4421.612,5380.847,5334.129,3125.165,3716.854,518.462,3294.230,3514.604,83.400,637.807,6339.298,9158,9158,2540.118,920.540,3245.303,520.275,1204.114,1947.931,1993.676,2540.090,3497.444,3822.060,710.288,3497.444,2427.186,516.237,511.193,3736.818,3779.922,9158,440.099,6053.175,343.810,9158,605.257,9158,2702.957,9158,277.604,879.124,6019.293,490.911,9158,6406.063,9158,2477.123,3595.782,282.987,700.299,9158,9158,1606.626,1548.935,9158,9158,9158,9158,2762.910,9158,9158,9158,3240.809,4633.718,2662.475,9158,2037.155,9158,2723.579,329.192,9158,3108.189,6339.989,9158,9158,9158,2091.669,488.820,1027.552,590.854,99.941,3731.261,602.812,9158,23.672,9158,9158,9158,6453.801,1224.270,9158,6188.522,4604.931,9158,9158,9158,9158,3240.809,1307.390,2195.632,1231.588,9158,4225.913,485.853,5330.542,990.716,637.783,821.423,952.329,175.349,653.904,3430.838,1936.491,2064.182,3292.545,9158,1262.935,9158,2359.697,HIV1_O
9182,9182,1383.253,9182,6423.732,9182,2129.145,5878.849,605.815,1238.760,435.783,2603.286,554.787,2151.106,9182,4808.318,777.050,9182,574.990,4999.372,9182,838.958,2613.874,2320.118,3526.675,3432.017,3435.555,3637.002,3043.376,669.157,6273.871,5686.828,9182,2280.384,502.193,1940.844,4667.935,2690.275,4682.470,5133.118,2079.551,745.426,4087.589,2883.510,2320.209,9182,113.817,353.876,460.501,513.472,2081.053,3098.484,5512.893,4253.755,5391.063,5383.215,2511.903,9182,553.882,5672.698,4655.388,83.294,669.157,4455.325,9182,9182,2786.745,833.070,4339.942,554.741,1263.354,1829.181,2875.883,2786.625,5280.052,5945.634,465.369,5280.052,1709.011,482.399,604.718,3243.219,4765.024,4592.415,353.983,2605.629,485.843,9182,513.498,9182,2013.829,9182,279.106,912.143,9182,543.307,4592.465,6423.732,5255.535,3615.317,3220.122,355.348,563.013,9182,9182,2068.642,1802.940,3928.549,4918.229,9182,9182,3258.494,6176.626,9182,9182,2302.232,4645.576,1941.405,9182,2245.587,9182,4051.406,323.619,9182,3400.260,9182,9182,5858.293,3458.158,1271.761,527.336,1085.850,652.776,112.051,9182,1389.015,9182,24.807,9182,9182,9182,9182,2055.456,9182,9182,9182,9182,9182,9182,9182,2666.352,2135.501,3412.613,1110.900,9182,3405.473,514.080,2215.492,587.726,720.319,1142.840,795.573,176.038,503.768,3564.129,2190.988,2807.283,2295.249,9182,1138.521,9182,1657.624,HIV1_O
9171,9171,1550.703,9171,6414.555,4599.337,3519.268,9171,800.760,1307.494,353.098,2226.413,536.221,2010.369,9171,4131.005,895.928,9171,525.316,9171,6461.584,654.823,2453.903,2215.997,1931.324,5762.847,4558.088,6068.889,3300.899,846.627,9171,5653.296,9171,2070.476,518.435,1690.803,2736.000,5203.928,9171,5199.679,2128.662,1024.189,2962.527,4588.238,2216.100,5721.317,116.241,324.975,430.474,532.478,1618.947,1936.042,9171,4221.687,5174.439,9171,3613.768,9171,513.225,4573.881,4648.030,81.124,846.627,4676.193,9171,9171,2351.585,756.961,4307.843,536.252,926.482,1531.614,1396.358,2351.462,4766.625,4978.802,445.846,4766.625,1721.551,457.444,570.286,3868.021,3080.237,9171,377.043,9171,393.492,9171,532.510,9171,2138.845,4675.802,269.410,1032.842,9171,722.100,9171,6414.555,4221.687,2615.819,3744.732,338.774,559.073,9171,9171,2474.606,4031.391,9171,4896.592,5112.404,9171,2420.392,3155.282,9171,9171,1731.539,3448.613,5167.506,9171,2535.768,9171,3479.693,378.021,9171,1779.222,9171,9171,9171,3447.558,2371.112,436.732,692.473,626.458,114.988,6453.135,1024.059,9171,23.133,9171,9171,9171,6462.993,1183.973,9171,9171,9171,9171,9171,9171,4599.029,2389.756,2449.513,3467.674,1744.244,9171,5721.317,696.383,3460.208,590.992,907.636,1019.812,639.300,198.579,401.510,3077.521,1652.893,6451.024,2285.791,9171,949.811,9171,2353.326,HIV1_O
